Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2100000,1.3477744,-0.016918164,1163.0,-0.5229373304949453,-0.5229373304949453,1.0
2110000,1.3467743,0.059876952,295.0,1.7853503224556335,1.7853503224556335,1.0
2120000,1.3459443,-0.003882925,487.53333333333336,1.7188335679044637,1.7188335679044637,1.0
2130000,1.3460461,-0.06950023,226.2,None,None,1.0
2140000,1.3461683,-0.053762343,684.6,1.5050902010058054,1.5050902010058054,1.0
2150000,1.3458936,-0.011100892,835.2666666666667,0.6802935029845685,0.6802935029845685,1.0
2160000,1.3465081,-0.10976686,202.2,None,None,1.0
2170000,1.3471285,-0.011095668,1143.5714285714287,0.8214475541485866,0.8214475541485866,1.0
2180000,1.3468517,0.015523118,404.6666666666667,1.802089639547232,1.802089639547232,1.0
2190000,1.3464139,0.04352138,625.5714285714286,1.8133898371659023,1.8133898371659023,1.0
2200000,1.346281,0.05329007,425.6,1.6863440377055667,1.6863440377055667,1.0
2210000,1.3461964,-0.05234827,340.6,3.0297255485784262,3.0297255485784262,1.0
2220000,1.3461426,0.11348145,259.7352941176471,2.3491517668839412,2.3491517668839412,1.0
2230000,1.3459855,0.10186363,991.4444444444445,0.5789335289090458,0.5789335289090458,1.0
2240000,1.3458848,0.2644996,795.7272727272727,1.3642036733177394,1.3642036733177394,1.0
2250000,1.3460582,0.21335012,625.4,0.9128475979883469,0.9128475979883469,1.0
2260000,1.3461677,0.114379615,230.85714285714286,2.6085161783879527,2.6085161783879527,1.0
2270000,1.3459315,0.14123479,270.42857142857144,2.6118525839613183,2.6118525839613183,1.0
2280000,1.345871,0.11619115,274.2,2.623580312666794,2.623580312666794,1.0
2290000,1.3452073,0.13800357,767.5714285714286,1.3047918744947917,1.3047918744947917,1.0
2300000,1.3442177,0.081305474,354.82608695652175,2.3328265059567257,2.3328265059567257,1.0
2310000,1.3442316,0.124469556,124.625,2.7931070016774657,2.7931070016774657,1.0
2320000,1.3444213,0.08056143,386.96,2.3472102931234984,2.3472102931234984,1.0
2330000,1.3446425,0.19774404,704.9545454545455,1.3006074499862734,1.3006074499862734,1.0
2340000,1.3450046,0.07107083,231.21052631578948,2.625907499675772,2.625907499675772,1.0
2350000,1.3453071,0.037064835,669.5,1.6514793906681007,1.6514793906681007,1.0
2360000,1.3453997,0.14943601,1131.1739130434783,0.6638167696097904,0.6638167696097904,1.0
2370000,1.3451825,0.16098855,231.4,1.4111574486471778,1.4111574486471778,1.0
2380000,1.3449743,0.07364915,269.94736842105266,2.641535995403371,2.641535995403371,1.0
2390000,1.3451407,0.1505525,333.6,2.0197723412280904,2.0197723412280904,1.0
2400000,1.3452381,0.060978834,172.6,2.603680403996259,2.603680403996259,1.0
2410000,1.3449613,-0.009887648,480.7142857142857,1.9714115616968937,1.9714115616968937,1.0
2420000,1.3449051,0.0623575,647.1666666666666,1.6601767029496841,1.6601767029496841,1.0
2430000,1.3452127,0.0034970439,867.7272727272727,1.8067787326872349,1.8067787326872349,1.0
2440000,1.3453792,0.04407625,279.0,1.2989860092223222,1.2989860092223222,1.0
2450000,1.3452269,0.07428282,802.6595744680851,0.9960321252224372,0.9960321252224372,1.0
2460000,1.3454361,0.29247484,267.13793103448273,2.352357896598705,2.352357896598705,1.0
2470000,1.3453033,0.24377012,140.2,2.1106361086921033,2.1106361086921033,1.0
2480000,1.3450938,0.258424,225.7058823529412,2.5854621163932334,2.5854621163932334,1.0
2490000,1.345016,0.20741381,260.55555555555554,2.4851614400330515,2.4851614400330515,1.0
2500000,1.3447666,0.25475973,319.3333333333333,2.220108688403949,2.220108688403949,1.0
