Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
850000,-0.4168859,4.385496,None,None,None,None,None,None,1.0
860000,-0.42620087,4.382921,1999.0,0.0026182604,0.028241007,0.00025701863,None,None,1.0
870000,-0.29003656,4.382424,1999.0,None,None,None,-6.1412754356861115,-6.1412754356861115,1.0
880000,-0.46772859,4.436485,1999.0,0.0045866985,0.027232016,0.00025605224,-7.85514143651182,-7.85514143651182,1.0
890000,-0.45234123,4.397982,None,None,None,None,-6.5933173762427435,-6.5933173762427435,1.0
900000,-0.42205888,4.386623,1999.0,0.013038978,0.027190477,0.00025548582,-9.882200678189596,-9.882200678189596,1.0
910000,-0.24552302,4.381954,None,None,None,None,-9.680140733718872,-9.680140733718872,1.0
920000,-0.25355464,4.3695755,None,0.013028067,0.025880894,0.00025447144,None,None,1.0
930000,-0.45683756,4.375975,1999.0,0.010511466,0.026735332,0.00025385703,-6.780310690402985,-6.780310690402985,1.0
940000,-0.34458536,4.375862,None,None,None,None,-7.601350486278534,-7.601350486278534,1.0
950000,-0.35306954,4.369433,None,0.0054788045,0.026857221,0.00025284264,None,None,1.0
960000,-0.44709975,4.364749,1999.0,0.009525705,0.02640464,0.00025222823,-7.634180724620819,-7.634180724620819,1.0
970000,-0.40202808,4.369955,1999.0,0.006171046,0.025823805,0.00025164263,-7.499280784811292,-7.499280784811292,1.0
980000,-0.46155986,4.3632226,None,None,None,None,None,None,1.0
990000,-0.48759174,4.3635283,1999.0,0.0057003866,0.022960814,0.00025061864,-7.629260987043381,-7.629260987043381,1.0
1000000,-0.3672505,4.3587456,1999.0,None,None,None,-7.660572504997253,-7.660572504997253,1.0
1010000,-0.49463448,4.423682,1999.0,0.0057016322,0.021202864,0.00024965222,-7.289340508835656,-7.289340508835656,1.0
1020000,-0.44846353,4.3882437,None,0.0034281162,0.020501427,0.00024908583,-7.38132352062634,-7.38132352062634,1.0
1030000,-0.4007732,4.3520904,1999.0,None,None,None,-7.7501057386398315,-7.7501057386398315,1.0
1040000,-0.25869113,4.349111,None,0.012384651,0.02510129,0.00024807142,None,None,1.0
1050000,-0.26251858,4.346666,None,None,None,None,None,None,1.0
1060000,-0.45661813,4.354966,1999.0,0.013933333,0.023253174,0.000247457,-6.178995490074158,-6.178995490074158,1.0
1070000,-0.43023542,4.339052,None,None,None,None,None,None,1.0
1080000,-0.43808198,4.3583674,None,0.009915806,0.025730016,0.00024644262,None,None,1.0
