Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1360000,1.5172135,1847.5,-0.3070185,-8.23900055885315,-8.23900055885315,1.0
1370000,1.5173901,1195.6666666666667,-0.32615924,-4.868889245722029,-4.868889245722029,1.0
1380000,1.5164708,787.6666666666666,-0.52467734,-3.705428752515997,-3.705428752515997,1.0
1390000,1.5147246,1378.0,-0.39212704,-5.486900281906128,-5.486900281906128,1.0
1400000,1.5119337,1676.0,-0.34935158,-5.7095718043191095,-5.7095718043191095,1.0
1410000,1.5134438,746.0,-0.3614717,-2.06533345580101,-2.06533345580101,1.0
1420000,1.5128117,1999.0,-0.4034735,-8.664667303363482,-8.664667303363482,1.0
1430000,1.512376,1522.0,-0.399603,-3.5623336186011634,-3.5623336186011634,1.0
1440000,1.5124204,1276.4,-0.33310404,-6.096611460049947,-6.096611460049947,1.0
1450000,1.5123138,969.0,-0.42722294,-4.513333635197745,-4.513333635197745,1.0
1460000,1.5123391,1294.0,-0.3693616,-5.804833620786667,-5.804833620786667,1.0
1470000,1.5127838,1596.6666666666667,-0.4032655,-8.419714723314558,-8.419714723314558,1.0
1480000,1.5126444,820.0,-0.4153392,-2.7129092514514923,-2.7129092514514923,1.0
1490000,1.5124218,1222.3333333333333,-0.35298175,-5.003889232873917,-5.003889232873917,1.0
1500000,1.512623,614.0,-0.3973203,-1.7391667167345684,-1.7391667167345684,1.0
1510000,1.512378,1149.5,-0.36053318,-4.58358359336853,-4.58358359336853,1.0
1520000,1.5126933,1999.0,-0.41174713,-8.885556115044487,-8.885556115044487,1.0
1530000,1.5135666,219.0,-0.4262818,-0.7631666858990988,-0.7631666858990988,1.0
1540000,1.514861,1999.0,-0.47082496,-9.330333968003591,-9.330333968003591,1.0
1550000,1.5139432,802.0,-2.3925061,-2.347333470980326,-2.347333470980326,1.0
1560000,1.5148586,1020.2857142857143,-0.41415086,-4.439444775382678,-4.439444775382678,1.0
1570000,1.5167575,863.8,-7.0439653,-3.549706111936008,-3.549706111936008,1.0
1580000,1.517662,1497.0,-0.3653956,-5.350111461348003,-5.350111461348003,1.0
1590000,1.5187172,858.0,-17.26248,-4.883571812084743,-4.883571812084743,1.0
1600000,1.5187248,1479.0,-31.256403,-5.418500239650409,-5.418500239650409,1.0
1610000,1.5178605,729.0,-1.1882187,-1.9793333212534587,-1.9793333212534587,1.0
1620000,1.5185176,None,0.051410228,None,None,1.0
1630000,1.519069,1607.6666666666667,-0.16513194,-7.153444978925917,-7.153444978925917,1.0
1640000,1.5218265,1199.5,-0.119717546,-5.277778117193116,-5.277778117193116,1.0
1650000,1.5234077,1194.0,-0.2334006,-4.973000218470891,-4.973000218470891,1.0
1660000,1.5238127,1427.5,-0.23820731,-6.911000406742096,-6.911000406742096,1.0
1670000,1.5234319,1187.8,-0.6831572,-4.3600669691960015,-4.3600669691960015,1.0
1680000,1.5224317,808.2,-0.24062115,-3.415812699124217,-3.415812699124217,1.0
1690000,1.521631,222.0,-0.22047861,-0.4453333218892415,-0.4453333218892415,1.0
1700000,1.5226171,1007.5,-0.27996016,-4.207166984677315,-4.207166984677315,1.0
